elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
104,2,-1,0.2857142857142857,-1,-1,benign
38,1,-1,0.0,-1,-1,benign
38,1,-1,0.0,-1,-1,benign
60,2,-1,-1,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
